Date,Game,Opposition,Home/Away,Metric,Value
2024-11-16,Trinity (H),Trinity,H,Ruck Attack,3
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Ruck Attack,4
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Ruck Attack,1
2025-01-18,Twickenham (H),Twickenham,H,Ruck Attack,2
2025-02-08,Hove (A),Hove,A,Ruck Attack,0
2024-09-07,London Cornish (H),London Cornish,H,Ruck Defence,3
2024-10-12,Hove (H),Hove,H,Ruck Defence,5
2024-10-19,Twickenham (A),Twickenham,A,Ruck Defence,1
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Ruck Defence,2
2024-11-09,Eastbourne (A),Eastbourne,A,Ruck Defence,4
2024-11-16,Trinity (H),Trinity,H,Ruck Defence,3
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Ruck Defence,3
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Ruck Defence,3
2025-01-18,Twickenham (H),Twickenham,H,Ruck Defence,2
2025-02-08,Hove (A),Hove,A,Ruck Defence,3
2024-09-07,London Cornish (H),London Cornish,H,Scrum,2
2024-10-12,Hove (H),Hove,H,Scrum,0
2024-10-19,Twickenham (A),Twickenham,A,Scrum,1
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Scrum,1
2024-11-09,Eastbourne (A),Eastbourne,A,Scrum,3
2024-11-16,Trinity (H),Trinity,H,Scrum,0
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Scrum,0
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Scrum,0
2025-01-18,Twickenham (H),Twickenham,H,Scrum,0
2025-02-08,Hove (A),Hove,A,Scrum,0
2024-09-07,London Cornish (H),London Cornish,H,Lineout,0
2024-10-12,Hove (H),Hove,H,Lineout,0
2024-10-19,Twickenham (A),Twickenham,A,Lineout,0
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Lineout,0
2024-11-09,Eastbourne (A),Eastbourne,A,Lineout,0
2024-11-16,Trinity (H),Trinity,H,Lineout,1
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Lineout,0
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Lineout,1
2025-01-18,Twickenham (H),Twickenham,H,Lineout,1
2025-02-08,Hove (A),Hove,A,Lineout,1
2024-09-07,London Cornish (H),London Cornish,H,Maul,0
2024-10-12,Hove (H),Hove,H,Maul,0
2024-10-19,Twickenham (A),Twickenham,A,Maul,0
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Maul,0
2024-11-09,Eastbourne (A),Eastbourne,A,Maul,0
2024-11-16,Trinity (H),Trinity,H,Maul,0
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Maul,0
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Maul,0
2025-01-18,Twickenham (H),Twickenham,H,Maul,0
2025-02-08,Hove (A),Hove,A,Maul,0
2024-09-07,London Cornish (H),London Cornish,H,Offside,1
2024-10-12,Hove (H),Hove,H,Offside,3
2024-10-19,Twickenham (A),Twickenham,A,Offside,2
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Offside,2
2024-11-09,Eastbourne (A),Eastbourne,A,Offside,3
2024-11-16,Trinity (H),Trinity,H,Offside,1
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Offside,1
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Offside,0
2025-01-18,Twickenham (H),Twickenham,H,Offside,1
2025-02-08,Hove (A),Hove,A,Offside,2
2024-09-07,London Cornish (H),London Cornish,H,Foul play,0
2024-10-12,Hove (H),Hove,H,Foul play,0
2024-10-19,Twickenham (A),Twickenham,A,Foul play,0
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Foul play,0
2024-11-09,Eastbourne (A),Eastbourne,A,Foul play,1
2024-11-16,Trinity (H),Trinity,H,Foul play,1
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Foul play,1
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Foul play,1
2025-01-18,Twickenham (H),Twickenham,H,Foul play,0
2025-02-08,Hove (A),Hove,A,Foul play,1
2024-09-07,London Cornish (H),London Cornish,H,Tackle,2
2024-10-12,Hove (H),Hove,H,Tackle,0
2024-10-19,Twickenham (A),Twickenham,A,Tackle,1
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackle,3
2024-11-09,Eastbourne (A),Eastbourne,A,Tackle,4
2024-11-16,Trinity (H),Trinity,H,Tackle,0
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackle,1
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackle,1
2025-01-18,Twickenham (H),Twickenham,H,Tackle,5
2025-02-08,Hove (A),Hove,A,Tackle,1
2024-09-07,London Cornish (H),London Cornish,H,Blocking,0
2024-10-12,Hove (H),Hove,H,Blocking,0
2024-10-19,Twickenham (A),Twickenham,A,Blocking,0
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Blocking,0
2024-11-09,Eastbourne (A),Eastbourne,A,Blocking,0
2024-11-16,Trinity (H),Trinity,H,Blocking,0
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Blocking,0
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Blocking,0
2025-01-18,Twickenham (H),Twickenham,H,Blocking,0
2025-02-08,Hove (A),Hove,A,Blocking,0
