Date,Game,Opposition,Home/Away,Metric,Value
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,22m - Half (Time),12:38
2024-11-09,Eastbourne (A),Eastbourne,A,22m - Half (Time),10:49
2024-11-16,Trinity (H),Trinity,H,22m - Half (Time),11:27
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,22m - Half (Time),09:28
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,22m - Half (Time),15:21
2025-01-18,Twickenham (H),Twickenham,H,22m - Half (Time),14:14
2025-02-08,Hove (A),Hove,A,22m - Half (Time),14:46
2024-09-07,London Cornish (H),London Cornish,H,22m - Half (%),0.33
2024-10-12,Hove (H),Hove,H,22m - Half (%),0.27
2024-10-19,Twickenham (A),Twickenham,A,22m - Half (%),0.31
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,22m - Half (%),0.31
2024-11-09,Eastbourne (A),Eastbourne,A,22m - Half (%),0.29
2024-11-16,Trinity (H),Trinity,H,22m - Half (%),0.32
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,22m - Half (%),0.22
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,22m - Half (%),0.38
2025-01-18,Twickenham (H),Twickenham,H,22m - Half (%),0.33
2025-02-08,Hove (A),Hove,A,22m - Half (%),0.35000000000000003
2024-09-07,London Cornish (H),London Cornish,H,Half - 22m (Time),17:18
2024-10-12,Hove (H),Hove,H,Half - 22m (Time),13:14
2024-10-19,Twickenham (A),Twickenham,A,Half - 22m (Time),10:52
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Half - 22m (Time),14:03
2024-11-09,Eastbourne (A),Eastbourne,A,Half - 22m (Time),14:34
2024-11-16,Trinity (H),Trinity,H,Half - 22m (Time),10:58
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Half - 22m (Time),16:24
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Half - 22m (Time),12:59
2025-01-18,Twickenham (H),Twickenham,H,Half - 22m (Time),13:13
2025-02-08,Hove (A),Hove,A,Half - 22m (Time),12:36
2024-09-07,London Cornish (H),London Cornish,H,Half - 22m (%),0.45
2024-10-12,Hove (H),Hove,H,Half - 22m (%),0.32
2024-10-19,Twickenham (A),Twickenham,A,Half - 22m (%),0.3
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Half - 22m (%),0.34
2024-11-09,Eastbourne (A),Eastbourne,A,Half - 22m (%),0.39
2024-11-16,Trinity (H),Trinity,H,Half - 22m (%),0.31
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Half - 22m (%),0.39
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Half - 22m (%),0.32
2025-01-18,Twickenham (H),Twickenham,H,Half - 22m (%),0.31
2025-02-08,Hove (A),Hove,A,Half - 22m (%),0.3
2024-09-07,London Cornish (H),London Cornish,H,Opp 22m (Time),05:13
2024-10-12,Hove (H),Hove,H,Opp 22m (Time),09:55
2024-10-19,Twickenham (A),Twickenham,A,Opp 22m (Time),09:54
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opp 22m (Time),05:11
2024-11-09,Eastbourne (A),Eastbourne,A,Opp 22m (Time),05:58
2024-11-16,Trinity (H),Trinity,H,Opp 22m (Time),04:32
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opp 22m (Time),09:30
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opp 22m (Time),05:20
2025-01-18,Twickenham (H),Twickenham,H,Opp 22m (Time),06:43
2025-02-08,Hove (A),Hove,A,Opp 22m (Time),08:36
2024-09-07,London Cornish (H),London Cornish,H,Opp 22m (%),0.14
2024-10-12,Hove (H),Hove,H,Opp 22m (%),0.24
2024-10-19,Twickenham (A),Twickenham,A,Opp 22m (%),0.27
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opp 22m (%),0.13
2024-11-09,Eastbourne (A),Eastbourne,A,Opp 22m (%),0.16
2024-11-16,Trinity (H),Trinity,H,Opp 22m (%),0.13
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opp 22m (%),0.23
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opp 22m (%),0.13
2025-01-18,Twickenham (H),Twickenham,H,Opp 22m (%),0.16
2025-02-08,Hove (A),Hove,A,Opp 22m (%),0.21
2024-09-07,London Cornish (H),London Cornish,H,Opposition Entries,6
2024-10-12,Hove (H),Hove,H,Opposition Entries,9
2024-10-19,Twickenham (A),Twickenham,A,Opposition Entries,10
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opposition Entries,12
2024-11-09,Eastbourne (A),Eastbourne,A,Opposition Entries,8
2024-11-16,Trinity (H),Trinity,H,Opposition Entries,15
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opposition Entries,7
